"UserPrincipalName","DisplayName","SkuPartNumber","SkuId","ServicePlanName","ProvisioningStatus","AppliesTo"
"emma.wilson@summitridge-mfg.com","Emma Wilson","ENTERPRISEPREMIUM","c7df2760-2c81-4ef7-b578-5b5392b571df","ADALLOM_S_O365","Success","User"
"emma.wilson@summitridge-mfg.com","Emma Wilson","ENTERPRISEPREMIUM","c7df2760-2c81-4ef7-b578-5b5392b571df","ATP_ENTERPRISE","Success","Company"
"emma.wilson@summitridge-mfg.com","Emma Wilson","ENTERPRISEPREMIUM","c7df2760-2c81-4ef7-b578-5b5392b571df","BI_AZURE_P2","Success","User"
"emma.wilson@summitridge-mfg.com","Emma Wilson","ENTERPRISEPREMIUM","c7df2760-2c81-4ef7-b578-5b5392b571df","Bing_Chat_Enterprise","Success","User"
"emma.wilson@summitridge-mfg.com","Emma Wilson","ENTERPRISEPREMIUM","c7df2760-2c81-4ef7-b578-5b5392b571df","BPOS_S_TODO_3","Success","User"
"emma.wilson@summitridge-mfg.com","Emma Wilson","ENTERPRISEPREMIUM","c7df2760-2c81-4ef7-b578-5b5392b571df","CDS_O365_P3","Success","User"
"emma.wilson@summitridge-mfg.com","Emma Wilson","ENTERPRISEPREMIUM","c7df2760-2c81-4ef7-b578-5b5392b571df","CLIPCHAMP","Success","User"
"emma.wilson@summitridge-mfg.com","Emma Wilson","ENTERPRISEPREMIUM","c7df2760-2c81-4ef7-b578-5b5392b571df","COMMON_DEFENDER_PLATFORM_FOR_OFFICE","Success","Company"
"emma.wilson@summitridge-mfg.com","Emma Wilson","ENTERPRISEPREMIUM","c7df2760-2c81-4ef7-b578-5b5392b571df","COMMUNICATIONS_COMPLIANCE","Success","User"
"emma.wilson@summitridge-mfg.com","Emma Wilson","ENTERPRISEPREMIUM","c7df2760-2c81-4ef7-b578-5b5392b571df","COMMUNICATIONS_DLP","Success","User"
"emma.wilson@summitridge-mfg.com","Emma Wilson","ENTERPRISEPREMIUM","c7df2760-2c81-4ef7-b578-5b5392b571df","Content_Explorer","Success","Company"
"emma.wilson@summitridge-mfg.com","Emma Wilson","ENTERPRISEPREMIUM","c7df2760-2c81-4ef7-b578-5b5392b571df","ContentExplorer_Standard","Success","Company"
"emma.wilson@summitridge-mfg.com","Emma Wilson","ENTERPRISEPREMIUM","c7df2760-2c81-4ef7-b578-5b5392b571df","CUSTOMER_KEY","Success","User"
"emma.wilson@summitridge-mfg.com","Emma Wilson","ENTERPRISEPREMIUM","c7df2760-2c81-4ef7-b578-5b5392b571df","CustomerLockboxA_Enterprise","Success","User"
"emma.wilson@summitridge-mfg.com","Emma Wilson","ENTERPRISEPREMIUM","c7df2760-2c81-4ef7-b578-5b5392b571df","DATA_INVESTIGATIONS","Success","User"
