"CreationDate","UserIds","Operations","Workload","ResultStatus","ObjectIdExported","AuditDataExported","ClientIpExported","LocationExported","PrivateContentExported"
"5/14/2026 10:49:59 PM","SeungHunJeong@democompany1016.onmicrosoft.com","Search",,,"No","No","No","No","No"
"5/14/2026 10:49:56 PM","SeungHunJeong@democompany1016.onmicrosoft.com","Search",,,"No","No","No","No","No"
"5/14/2026 10:46:57 PM","SeungHunJeong@democompany1016.onmicrosoft.com","Get-QuarantineMessage",,,"No","No","No","No","No"
"5/14/2026 10:46:56 PM","SeungHunJeong@democompany1016.onmicrosoft.com","Search",,,"No","No","No","No","No"
"5/14/2026 10:46:49 PM","SeungHunJeong@democompany1016.onmicrosoft.com","Validate",,,"No","No","No","No","No"
"5/14/2026 10:46:49 PM","SeungHunJeong@democompany1016.onmicrosoft.com","Validate",,,"No","No","No","No","No"
"5/14/2026 10:46:49 PM","SeungHunJeong@democompany1016.onmicrosoft.com","Validate",,,"No","No","No","No","No"
"5/14/2026 10:46:48 PM","0cda8d96-61ae-4c67-99db-f849200b1dea","Search",,,"No","No","No","No","No"
"5/14/2026 10:46:47 PM","SeungHunJeong@democompany1016.onmicrosoft.com","Search",,,"No","No","No","No","No"
"5/14/2026 10:46:47 PM","SeungHunJeong@democompany1016.onmicrosoft.com","Search",,,"No","No","No","No","No"
"5/14/2026 10:46:46 PM","SeungHunJeong@democompany1016.onmicrosoft.com","Aggregate",,,"No","No","No","No","No"
"5/14/2026 10:44:49 PM","seunghunjeong@democompany1016.onmicrosoft.com","UserLoggedIn",,,"No","No","No","No","No"
"5/14/2026 10:44:45 PM","seunghunjeong@democompany1016.onmicrosoft.com","UserLoginFailed",,,"No","No","No","No","No"
"5/14/2026 10:33:36 PM","SeungHunJeong@democompany1016.onmicrosoft.com","Validate",,,"No","No","No","No","No"
"5/14/2026 10:33:36 PM","SeungHunJeong@democompany1016.onmicrosoft.com","Validate",,,"No","No","No","No","No"
"5/14/2026 10:33:35 PM","SeungHunJeong@democompany1016.onmicrosoft.com","Validate",,,"No","No","No","No","No"
"5/14/2026 10:33:35 PM","0cda8d96-61ae-4c67-99db-f849200b1dea","Search",,,"No","No","No","No","No"
"5/14/2026 10:33:34 PM","SeungHunJeong@democompany1016.onmicrosoft.com","Search",,,"No","No","No","No","No"
"5/14/2026 10:33:34 PM","SeungHunJeong@democompany1016.onmicrosoft.com","Search",,,"No","No","No","No","No"
"5/14/2026 10:33:34 PM","SeungHunJeong@democompany1016.onmicrosoft.com","Search",,,"No","No","No","No","No"
"5/14/2026 10:33:33 PM","SeungHunJeong@democompany1016.onmicrosoft.com","Search",,,"No","No","No","No","No"
"5/14/2026 10:33:33 PM","0cda8d96-61ae-4c67-99db-f849200b1dea","Search",,,"No","No","No","No","No"
"5/14/2026 10:33:32 PM","seunghunjeong@democompany1016.onmicrosoft.com","UserLoggedIn",,,"No","No","No","No","No"
"5/14/2026 10:33:32 PM","seunghunjeong@democompany1016.onmicrosoft.com","UserLoggedIn",,,"No","No","No","No","No"
"5/14/2026 10:33:32 PM","seunghunjeong@democompany1016.onmicrosoft.com","UserLoggedIn",,,"No","No","No","No","No"
"5/14/2026 10:33:32 PM","seunghunjeong@democompany1016.onmicrosoft.com","UserLoggedIn",,,"No","No","No","No","No"
"5/14/2026 10:33:21 PM","seunghunjeong@democompany1016.onmicrosoft.com","UserLoggedIn",,,"No","No","No","No","No"
"5/14/2026 10:33:16 PM","seunghunjeong@democompany1016.onmicrosoft.com","UserLoggedIn",,,"No","No","No","No","No"
"5/14/2026 10:33:16 PM","seunghunjeong@democompany1016.onmicrosoft.com","UserLoggedIn",,,"No","No","No","No","No"
"5/14/2026 10:33:16 PM","seunghunjeong@democompany1016.onmicrosoft.com","UserLoggedIn",,,"No","No","No","No","No"
"5/14/2026 10:33:16 PM","seunghunjeong@democompany1016.onmicrosoft.com","UserLoggedIn",,,"No","No","No","No","No"
"5/14/2026 10:33:16 PM","seunghunjeong@democompany1016.onmicrosoft.com","UserLoggedIn",,,"No","No","No","No","No"
"5/14/2026 10:33:12 PM","seunghunjeong@democompany1016.onmicrosoft.com","UserLoggedIn",,,"No","No","No","No","No"
"5/14/2026 10:32:55 PM","seunghunjeong@democompany1016.onmicrosoft.com","UserLoggedIn",,,"No","No","No","No","No"
"5/14/2026 10:32:53 PM","0cda8d96-61ae-4c67-99db-f849200b1dea","UserLoggedIn",,,"No","No","No","No","No"
"5/14/2026 10:32:53 PM","seunghunjeong@democompany1016.onmicrosoft.com","UserLoggedIn",,,"No","No","No","No","No"
"5/14/2026 10:32:52 PM","Not Available","UserLoggedIn",,,"No","No","No","No","No"
"5/14/2026 10:32:51 PM","Not Available","UserLoggedIn",,,"No","No","No","No","No"
"5/14/2026 10:32:49 PM","Not Available","UserLoggedIn",,,"No","No","No","No","No"
"5/14/2026 10:32:48 PM","Not Available","UserLoggedIn",,,"No","No","No","No","No"
"5/14/2026 10:32:47 PM","Not Available","UserLoggedIn",,,"No","No","No","No","No"
"5/14/2026 10:32:46 PM","Not Available","UserLoggedIn",,,"No","No","No","No","No"
"5/14/2026 10:32:45 PM","seunghunjeong@democompany1016.onmicrosoft.com","UserLoginFailed",,,"No","No","No","No","No"
"5/14/2026 10:32:39 PM","seunghunjeong@democompany1016.onmicrosoft.com","UserLoginFailed",,,"No","No","No","No","No"
"5/14/2026 9:40:22 PM","SeungHunJeong@democompany1016.onmicrosoft.com","New-SafeAttachmentPolicy",,,"No","No","No","No","No"
"5/14/2026 9:36:04 PM","SeungHunJeong@democompany1016.onmicrosoft.com","New-SafeLinksPolicy",,,"No","No","No","No","No"
"5/14/2026 9:21:40 PM","SeungHunJeong@democompany1016.onmicrosoft.com","Validate",,,"No","No","No","No","No"
"5/14/2026 9:21:36 PM","SeungHunJeong@democompany1016.onmicrosoft.com","Validate",,,"No","No","No","No","No"
"5/14/2026 9:20:27 PM","0cda8d96-61ae-4c67-99db-f849200b1dea","Search",,,"No","No","No","No","No"
"5/14/2026 9:20:19 PM","SeungHunJeong@democompany1016.onmicrosoft.com","Validate",,,"No","No","No","No","No"
"5/14/2026 9:20:19 PM","SeungHunJeong@democompany1016.onmicrosoft.com","Validate",,,"No","No","No","No","No"
"5/14/2026 9:20:19 PM","SeungHunJeong@democompany1016.onmicrosoft.com","Validate",,,"No","No","No","No","No"
"5/14/2026 9:20:18 PM","0cda8d96-61ae-4c67-99db-f849200b1dea","Search",,,"No","No","No","No","No"
"5/14/2026 9:20:17 PM","SeungHunJeong@democompany1016.onmicrosoft.com","Search",,,"No","No","No","No","No"
"5/14/2026 9:20:17 PM","SeungHunJeong@democompany1016.onmicrosoft.com","Search",,,"No","No","No","No","No"
"5/14/2026 9:20:17 PM","SeungHunJeong@democompany1016.onmicrosoft.com","Validate",,,"No","No","No","No","No"
"5/14/2026 9:20:17 PM","SeungHunJeong@democompany1016.onmicrosoft.com","Search",,,"No","No","No","No","No"
"5/14/2026 9:20:17 PM","SeungHunJeong@democompany1016.onmicrosoft.com","Search",,,"No","No","No","No","No"
"5/14/2026 9:20:16 PM","SeungHunJeong@democompany1016.onmicrosoft.com","Validate",,,"No","No","No","No","No"
"5/14/2026 9:19:49 PM","seunghunjeong@democompany1016.onmicrosoft.com","UserLoggedIn",,,"No","No","No","No","No"
"5/14/2026 8:53:02 PM","seunghunjeong@democompany1016.onmicrosoft.com","UserLoggedIn",,,"No","No","No","No","No"
"5/14/2026 8:53:00 PM","seunghunjeong@democompany1016.onmicrosoft.com","UserLoginFailed",,,"No","No","No","No","No"
"5/14/2026 6:48:29 PM","ServicePrincipal_aa238db1-1abf-41fb-825d-90f5e5c8d49f","Update agreement.",,,"No","No","No","No","No"
"5/14/2026 6:19:04 PM","seunghunjeong@democompany1016.onmicrosoft.com","UserLoggedIn",,,"No","No","No","No","No"
